,Zipcode,Latitude,Longitude,Zhvi,Number of Crimes
0,10001,40.75,-74.0,2003600,201
1,10002,40.71,-73.99,985200,175
2,10003,40.73,-73.99,1666000,176
3,10004,40.69,-74.02,1113700,19
4,10005,40.71,-74.01,1164600,22
5,10006,40.71,-74.01,943800,6
6,10007,40.71,-74.01,2711900,45
7,10009,40.73,-73.98,1151900,101
8,10010,40.74,-73.98,1718700,81
9,10011,40.74,-74.0,1675900,128
10,10012,40.73,-74.0,2498200,108
11,10013,40.72,-74.0,2969300,125
12,10014,40.73,-74.01,1886400,118
13,10016,40.75,-73.98,1030300,91
14,10017,40.75,-73.97,1014100,48
15,10019,40.77,-73.99,1270600,158
16,10021,40.77,-73.96,1572400,33
17,10022,40.76,-73.97,1308100,117
18,10023,40.78,-73.98,1398800,101
19,10025,40.8,-73.97,1080800,198
20,10026,40.8,-73.95,951500,111
21,10027,40.81,-73.95,1068700,222
22,10028,40.78,-73.95,1509800,61
23,10029,40.79,-73.94,797600,197
24,10030,40.82,-73.94,883200,80
25,10032,40.84,-73.94,721400,117
26,10035,40.8,-73.93,854400,183
27,10036,40.76,-73.99,1104400,178
28,10038,40.71,-74.0,1030300,66
29,10044,40.76,-73.95,990400,4
30,10065,40.76,-73.96,1627500,55
31,10075,40.77,-73.95,1154000,27
32,10128,40.78,-73.95,1244300,66
33,10280,40.71,-74.02,875300,2
34,10301,40.63,-74.09,559900,109
35,10302,40.63,-74.14,425600,43
36,10303,40.63,-74.17,371100,75
37,10304,40.61,-74.09,540100,77
38,10305,40.6,-74.07,543000,69
39,10306,40.58,-74.14,552600,63
40,10307,40.51,-74.24,576200,29
41,10308,40.55,-74.15,527300,32
42,10309,40.53,-74.22,579900,34
43,10310,40.63,-74.12,512800,68
44,10312,40.55,-74.18,541100,35
45,10314,40.6,-74.17,528200,114
46,10461,40.85,-73.84,508300,119
47,10462,40.84,-73.86,153400,118
48,10463,40.88,-73.91,704600,124
49,10464,40.87,-73.8,542400,12
50,10465,40.82,-73.83,509400,79
51,10466,40.89,-73.85,434600,166
52,10467,40.87,-73.87,424800,231
53,10469,40.87,-73.85,457100,105
54,10470,40.89,-73.87,473600,42
55,10471,40.9,-73.9,919600,36
56,10473,40.82,-73.86,432000,122
57,11001,40.72,-73.7,624700,3
58,11004,40.74,-73.71,646100,11
59,11040,40.73,-73.68,680200,3
60,11101,40.74,-73.93,1102300,116
61,11102,40.77,-73.93,644800,50
62,11103,40.76,-73.91,881000,66
63,11104,40.74,-73.92,645400,28
64,11105,40.78,-73.91,856900,54
65,11106,40.76,-73.93,797100,48
66,11203,40.64,-73.94,528500,218
67,11204,40.62,-73.98,897900,67
68,11205,40.69,-73.97,847400,95
69,11206,40.7,-73.94,721900,217
70,11208,40.67,-73.87,463200,270
71,11209,40.62,-74.03,998900,62
72,11210,40.63,-73.95,808300,105
73,11211,40.71,-73.95,958200,148
74,11212,40.66,-73.91,454500,297
75,11213,40.67,-73.94,902300,177
76,11214,40.6,-74.0,707300,102
77,11215,40.66,-73.99,1272600,90
78,11216,40.68,-73.95,866700,162
79,11217,40.68,-73.98,1232700,133
80,11218,40.64,-73.98,1077200,72
81,11219,40.63,-74.0,796000,54
82,11221,40.69,-73.93,974900,202
83,11222,40.73,-73.95,1001300,72
84,11223,40.6,-73.97,905600,92
85,11224,40.58,-73.99,557400,161
86,11225,40.66,-73.95,1413400,129
87,11226,40.65,-73.96,824300,220
88,11228,40.62,-74.01,912800,36
89,11229,40.6,-73.94,769400,91
90,11230,40.62,-73.97,1098900,70
91,11231,40.68,-74.01,1153000,89
92,11234,40.61,-73.91,607500,127
93,11235,40.58,-73.95,710100,118
94,11236,40.64,-73.9,477200,163
95,11238,40.68,-73.96,1001600,108
96,11354,40.77,-73.84,738800,129
97,11355,40.75,-73.82,741400,112
98,11356,40.78,-73.84,731900,29
99,11357,40.79,-73.81,914600,35
100,11358,40.76,-73.8,890300,30
101,11360,40.78,-73.78,785700,16
102,11361,40.76,-73.77,868900,37
103,11362,40.76,-73.74,924900,17
104,11363,40.77,-73.75,1035200,2
105,11364,40.75,-73.76,890900,33
106,11365,40.74,-73.79,859900,36
107,11366,40.73,-73.79,907900,18
108,11367,40.73,-73.83,803700,23
109,11368,40.74,-73.85,537000,147
110,11369,40.76,-73.88,702100,88
111,11370,40.77,-73.89,686500,19
112,11372,40.75,-73.88,572200,112
113,11373,40.74,-73.88,577900,138
114,11374,40.72,-73.86,764500,56
115,11375,40.72,-73.84,967700,56
116,11377,40.74,-73.9,744000,120
117,11378,40.72,-73.9,691700,37
118,11379,40.71,-73.88,719200,29
119,11385,40.7,-73.89,664500,181
120,11411,40.69,-73.73,461800,37
121,11412,40.69,-73.75,457500,78
122,11413,40.66,-73.75,464500,74
123,11414,40.66,-73.84,663900,24
124,11415,40.71,-73.83,646200,15
125,11416,40.68,-73.85,526600,39
126,11417,40.68,-73.84,519600,57
127,11418,40.7,-73.84,594400,57
128,11419,40.69,-73.82,500500,69
129,11420,40.67,-73.81,487600,89
130,11421,40.69,-73.85,572700,42
131,11422,40.66,-73.73,468100,39
132,11423,40.71,-73.76,559400,32
133,11426,40.74,-73.72,614600,13
134,11427,40.73,-73.75,633100,26
135,11428,40.72,-73.74,551200,32
136,11429,40.71,-73.74,469400,38
137,11432,40.72,-73.79,842400,102
138,11433,40.7,-73.79,456300,87
139,11434,40.68,-73.78,444500,210
140,11435,40.7,-73.81,513300,94
141,11436,40.68,-73.8,434900,33
142,11692,40.59,-73.79,357500,41
143,11694,40.58,-73.84,867600,25
